campaign_Id,client_id,numbers_contacts,contacts_duration,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
Id1,0,1,261,999,0,True,False,2022-05-13
Id2,1,1,149,999,0,True,False,2022-05-19
Id3,2,1,226,999,0,True,False,2022-05-23
Id4,3,1,151,999,0,True,False,2022-05-27
Id5,4,1,307,999,0,True,False,2022-05-03
Id6,5,1,198,999,0,True,False,2022-05-05
Id7,6,1,139,999,0,True,False,2022-05-03
Id8,7,1,217,999,0,True,False,2022-05-12
Id9,8,1,380,999,0,True,False,2022-05-21
Id10,9,1,50,999,0,True,False,2022-05-05
Id11,10,1,55,999,0,True,False,2022-05-08
Id12,11,1,222,999,0,True,False,2022-05-09
Id13,12,1,137,999,0,True,False,2022-05-29
Id14,13,1,293,999,0,True,False,2022-05-14
Id15,14,1,146,999,0,True,False,2022-05-29
Id16,15,1,174,999,0,True,False,2022-05-29
Id17,16,1,312,999,0,True,False,2022-05-01
Id18,17,1,440,999,0,True,False,2022-05-09
Id19,18,1,353,999,0,True,False,2022-05-06
Id20,19,1,195,999,0,True,False,2022-05-02
Id21,20,1,38,999,0,True,False,2022-05-02
Id22,21,1,262,999,0,True,False,2022-05-16
Id23,22,1,342,999,0,True,False,2022-05-20
Id24,23,1,181,999,0,True,False,2022-05-10
Id25,24,1,172,999,0,True,False,2022-05-02
Id26,25,1,99,999,0,True,False,2022-05-28
Id27,26,1,93,999,0,True,False,2022-05-30
Id28,27,1,233,999,0,True,False,2022-05-16
Id29,28,2,255,999,0,True,False,2022-05-01
Id30,29,1,362,999,0,True,False,2022-05-22
Id31,30,1,348,999,0,True,False,2022-05-22
Id32,31,1,386,999,0,True,False,2022-05-27
Id33,32,1,73,999,0,True,False,2022-05-25
Id34,33,1,230,999,0,True,False,2022-05-14
Id35,34,1,208,999,0,True,False,2022-05-25
Id36,35,1,336,999,0,True,False,2022-05-22
Id37,36,1,365,999,0,True,False,2022-05-11
Id38,37,1,1666,999,0,True,False,2022-05-03
Id39,38,1,577,999,0,True,False,2022-05-02
Id40,39,1,137,999,0,True,False,2022-05-20
Id41,40,1,366,999,0,True,False,2022-05-05
Id42,41,1,314,999,0,True,False,2022-05-25
Id43,42,1,160,999,0,True,False,2022-05-22
Id44,43,1,212,999,0,True,False,2022-05-01
Id45,44,1,188,999,0,True,False,2022-05-17
Id46,45,1,22,999,0,True,False,2022-05-28
Id47,46,1,616,999,0,True,False,2022-05-15
Id48,47,1,178,999,0,True,False,2022-05-03
Id49,48,1,355,999,0,True,False,2022-05-26
Id50,49,2,225,999,0,True,False,2022-05-26
Id51,50,1,160,999,0,True,False,2022-05-03
Id52,51,1,266,999,0,True,False,2022-05-09
Id53,52,1,253,999,0,True,False,2022-05-11
Id54,53,1,179,999,0,True,False,2022-05-13
Id55,54,2,269,999,0,True,False,2022-05-12
Id56,55,1,135,999,0,True,False,2022-05-08
Id57,56,1,161,999,0,True,False,2022-05-17
Id58,57,1,787,999,0,True,False,2022-05-08
Id59,58,1,145,999,0,True,False,2022-05-08
Id60,59,1,174,999,0,True,False,2022-05-18
Id61,60,1,449,999,0,True,False,2022-05-03
Id62,61,1,812,999,0,True,False,2022-05-23
Id63,62,1,164,999,0,True,False,2022-05-27
Id64,63,1,366,999,0,True,False,2022-05-29
Id65,64,1,357,999,0,True,False,2022-05-19
Id66,65,1,232,999,0,True,False,2022-05-15
Id67,66,1,91,999,0,True,False,2022-05-16
Id68,67,1,273,999,0,True,False,2022-05-21
Id69,68,2,158,999,0,True,False,2022-05-29
Id70,69,1,177,999,0,True,False,2022-05-04
Id71,70,1,200,999,0,True,False,2022-05-28
Id72,71,1,172,999,0,True,False,2022-05-26
Id73,72,1,176,999,0,True,False,2022-05-18
Id74,73,1,211,999,0,True,False,2022-05-14
Id75,74,1,214,999,0,True,False,2022-05-26
Id76,75,1,1575,999,0,True,True,2022-05-20
Id77,76,1,349,999,0,True,False,2022-05-16
Id78,77,2,337,999,0,True,False,2022-05-28
Id79,78,1,272,999,0,True,False,2022-05-30
Id80,79,1,208,999,0,True,False,2022-05-21
Id81,80,1,193,999,0,True,False,2022-05-29
Id82,81,1,212,999,0,True,False,2022-05-29
Id83,82,2,165,999,0,True,False,2022-05-27
Id84,83,1,1042,999,0,True,True,2022-05-06
Id85,84,1,20,999,0,True,False,2022-05-23
Id86,85,1,246,999,0,True,False,2022-05-12
Id87,86,2,529,999,0,True,False,2022-05-23
Id88,87,1,192,999,0,True,False,2022-05-21
Id89,88,1,1467,999,0,True,True,2022-05-19
Id90,89,2,188,999,0,True,False,2022-05-17
Id91,90,2,180,999,0,True,False,2022-05-29
Id92,91,1,48,999,0,True,False,2022-05-05
Id93,92,2,213,999,0,True,False,2022-05-02
Id94,93,1,545,999,0,True,False,2022-05-27
Id95,94,1,583,999,0,True,False,2022-05-28
Id96,95,1,221,999,0,True,False,2022-05-25
Id97,96,1,426,999,0,True,False,2022-05-17
Id98,97,1,287,999,0,True,False,2022-05-27
Id99,98,1,197,999,0,True,False,2022-05-30
Id100,99,1,257,999,0,True,False,2022-05-03
Id101,100,1,229,999,0,True,False,2022-05-25
Id102,101,3,55,999,0,True,False,2022-05-30
Id103,102,1,400,999,0,True,False,2022-05-27
Id104,103,1,197,999,0,True,False,2022-05-19
Id105,104,1,190,999,0,True,False,2022-05-24
Id106,105,1,21,999,0,True,False,2022-05-08
Id107,106,2,300,999,0,True,False,2022-05-22
Id108,107,2,123,999,0,True,False,2022-05-09
Id109,108,1,293,999,0,True,False,2022-05-15
Id110,109,1,325,999,0,True,False,2022-05-09
Id111,110,1,514,999,0,True,False,2022-05-04
Id112,111,2,849,999,0,True,False,2022-05-01
Id113,112,1,194,999,0,True,False,2022-05-25
Id114,113,2,212,999,0,True,False,2022-05-04
Id115,114,2,337,999,0,True,False,2022-05-06
Id116,115,1,286,999,0,True,False,2022-05-20
Id117,116,2,247,999,0,True,False,2022-05-31
Id118,117,1,518,999,0,True,False,2022-05-24
Id119,118,1,364,999,0,True,False,2022-05-06
Id120,119,1,178,999,0,True,False,2022-05-26
Id121,120,1,98,999,0,True,False,2022-05-21
Id122,121,1,439,999,0,True,False,2022-05-01
Id123,122,1,139,999,0,True,False,2022-05-18
Id124,123,1,79,999,0,True,False,2022-05-09
Id125,124,1,175,999,0,True,False,2022-05-26
Id126,125,2,262,999,0,True,False,2022-05-21
Id127,126,1,61,999,0,True,False,2022-05-31
Id128,127,1,78,999,0,True,False,2022-05-24
Id129,128,2,102,999,0,True,False,2022-05-23
Id130,129,1,579,999,0,True,True,2022-05-12
Id131,130,1,143,999,0,True,False,2022-05-29
Id132,131,1,677,999,0,True,False,2022-05-20
Id133,132,1,267,999,0,True,False,2022-05-22
Id134,133,1,345,999,0,True,False,2022-05-12
Id135,134,1,185,999,0,True,False,2022-05-19
Id136,135,1,207,999,0,True,False,2022-05-05
Id137,136,2,69,999,0,True,False,2022-05-26
Id138,137,2,100,999,0,True,False,2022-05-19
Id139,138,2,125,999,0,True,False,2022-05-28
Id140,139,1,461,999,0,True,True,2022-05-27
Id141,140,1,240,999,0,True,False,2022-05-16
Id142,141,1,70,999,0,True,False,2022-05-22
Id143,142,1,193,999,0,True,False,2022-05-24
Id144,143,1,136,999,0,True,False,2022-05-17
Id145,144,1,73,999,0,True,False,2022-05-24
Id146,145,1,528,999,0,True,False,2022-05-06
Id147,146,1,541,999,0,True,False,2022-05-11
Id148,147,1,338,999,0,True,False,2022-05-16
Id149,148,1,163,999,0,True,False,2022-05-28
Id150,149,1,87,999,0,True,False,2022-05-25
Id151,150,1,301,999,0,True,False,2022-05-03
Id152,151,1,46,999,0,True,False,2022-05-22
Id153,152,1,52,999,0,True,False,2022-05-08
Id154,153,1,204,999,0,True,False,2022-05-03
Id155,154,1,155,999,0,True,False,2022-05-12
Id156,155,1,98,999,0,True,False,2022-05-15
Id157,156,1,71,999,0,True,False,2022-05-25
Id158,157,1,243,999,0,True,False,2022-05-29
Id159,158,2,186,999,0,True,False,2022-05-07
Id160,159,2,579,999,0,True,False,2022-05-27
Id161,160,2,165,999,0,True,False,2022-05-03
Id162,161,2,163,999,0,True,False,2022-05-09
Id163,162,1,46,999,0,True,False,2022-05-29
Id164,163,3,559,999,0,True,False,2022-05-15
Id165,164,1,2033,999,0,True,False,2022-05-18
Id166,165,1,85,999,0,True,False,2022-05-22
Id167,166,1,506,999,0,True,False,2022-05-04
Id168,167,2,114,999,0,True,False,2022-05-12
Id169,168,2,114,999,0,True,False,2022-05-19
Id170,169,2,843,999,0,True,False,2022-05-25
Id171,170,1,181,999,0,True,False,2022-05-12
Id172,171,1,427,999,0,True,False,2022-05-05
Id173,172,1,292,999,0,True,False,2022-05-24
Id174,173,1,192,999,0,True,False,2022-05-07
Id175,174,3,93,999,0,True,False,2022-05-02
Id176,175,2,128,999,0,True,False,2022-05-09
Id177,176,1,107,999,0,True,False,2022-05-29
Id178,177,2,303,999,0,True,False,2022-05-13
Id179,178,1,81,999,0,True,False,2022-05-11
Id180,179,1,270,999,0,True,False,2022-05-30
Id181,180,1,228,999,0,True,False,2022-05-12
Id182,181,1,240,999,0,True,False,2022-05-31
Id183,182,2,673,999,0,True,True,2022-05-20
Id184,183,3,233,999,0,True,False,2022-05-08
Id185,184,1,102,999,0,True,False,2022-05-13
Id186,185,1,461,999,0,True,False,2022-05-19
Id187,186,1,250,999,0,True,False,2022-05-20
Id188,187,1,130,999,0,True,False,2022-05-03
Id189,188,1,252,999,0,True,False,2022-05-18
Id190,189,1,138,999,0,True,False,2022-05-19
Id191,190,1,412,999,0,True,False,2022-05-10
Id192,191,2,179,999,0,True,False,2022-05-19
Id193,192,2,19,999,0,True,False,2022-05-07
Id194,193,2,228,999,0,True,False,2022-05-26
Id195,194,1,55,999,0,True,False,2022-05-31
Id196,195,1,717,999,0,True,False,2022-05-06
Id197,196,1,313,999,0,True,False,2022-05-07
Id198,197,1,289,999,0,True,False,2022-05-29
Id199,198,2,683,999,0,True,False,2022-05-25
Id200,199,1,1077,999,0,True,False,2022-05-29
Id201,200,2,146,999,0,True,False,2022-05-09
Id202,201,1,167,999,0,True,False,2022-05-15
Id203,202,2,356,999,0,True,False,2022-05-20
Id204,203,1,277,999,0,True,False,2022-05-13
Id205,204,1,172,999,0,True,False,2022-05-09
Id206,205,1,218,999,0,True,False,2022-05-10
Id207,206,1,217,999,0,True,False,2022-05-04
Id208,207,1,67,999,0,True,False,2022-05-26
Id209,208,1,291,999,0,True,False,2022-05-08
Id210,209,1,248,999,0,True,False,2022-05-24
Id211,210,1,256,999,0,True,False,2022-05-19
Id212,211,1,286,999,0,True,False,2022-05-25
Id213,212,1,477,999,0,True,False,2022-05-31
Id214,213,2,611,999,0,True,False,2022-05-05
Id215,214,1,471,999,0,True,False,2022-05-14
Id216,215,2,381,999,0,True,False,2022-05-22
Id217,216,1,251,999,0,True,False,2022-05-02
Id218,217,1,408,999,0,True,False,2022-05-20
Id219,218,1,287,999,0,True,False,2022-05-29
Id220,219,3,322,999,0,True,False,2022-05-09
Id221,220,2,216,999,0,True,False,2022-05-20
Id222,221,2,366,999,0,True,False,2022-05-26
Id223,222,1,210,999,0,True,False,2022-05-26
Id224,223,1,288,999,0,True,False,2022-05-19
Id225,224,1,168,999,0,True,False,2022-05-15
Id226,225,1,132,999,0,True,False,2022-05-17
Id227,226,2,64,999,0,True,False,2022-05-26
Id228,227,2,209,999,0,True,False,2022-05-08
Id229,228,3,410,999,0,True,False,2022-05-09
Id230,229,1,177,999,0,True,False,2022-05-19
Id231,230,2,580,999,0,True,False,2022-05-06
Id232,231,1,165,999,0,True,False,2022-05-23
Id233,232,2,127,999,0,True,False,2022-05-27
Id234,233,1,357,999,0,True,False,2022-05-17
Id235,234,1,175,999,0,True,False,2022-05-10
